# B2  M_xy  beta  p  rho  v2
  2.255591e-02   1.945244e-05   2.216617e+03   9.946745e-01   9.978741e-01   1.462933e-01
  2.005942e-02   1.411646e-05   2.488216e+03   9.929712e-01   9.953652e-01   1.353491e-01
  2.000449e-02   1.818745e-05   2.492682e+03   9.920292e-01   9.956039e-01   1.353410e-01
  2.008908e-02   2.106908e-05   2.478728e+03   9.906472e-01   9.947956e-01   1.344600e-01
  2.020060e-02   1.688917e-05   2.466533e+03   9.912460e-01   9.952213e-01   1.341137e-01
  2.027345e-02   1.125189e-05   2.463301e+03   9.935170e-01   9.961546e-01   1.341291e-01
  2.009640e-02   5.974550e-06   2.486872e+03   9.942644e-01   9.958362e-01   1.343650e-01
  2.050049e-02   1.103080e-05   2.446362e+03   9.977346e-01   9.968975e-01   1.327200e-01
  1.941307e-02   7.205156e-06   2.580868e+03   9.967590e-01   9.960734e-01   1.337887e-01
  2.029996e-02  -7.507256e-06   2.455012e+03   9.914685e-01   9.941294e-01   1.333642e-01
  2.052464e-02  -6.409961e-06   2.429303e+03   9.919444e-01   9.952465e-01   1.333939e-01
  2.017005e-02  -1.811245e-06   2.467997e+03   9.903341e-01   9.945792e-01   1.339289e-01
  2.023346e-02  -1.179858e-06   2.463476e+03   9.916275e-01   9.953544e-01   1.341222e-01
  2.014889e-02   7.619090e-06   2.475351e+03   9.922430e-01   9.951459e-01   1.340113e-01
  2.004553e-02   9.169985e-06   2.488321e+03   9.923256e-01   9.942856e-01   1.336646e-01
  1.765682e-02   1.617716e-05   2.833484e+03   9.953218e-01   9.945019e-01   1.341906e-01
  2.233884e-02   1.418565e-06   2.240369e+03   9.956583e-01   9.984251e-01   1.460814e-01
  2.009843e-02  -8.246617e-06   2.485000e+03   9.936165e-01   9.956717e-01   1.344826e-01
  1.997047e-02  -8.833675e-06   2.497440e+03   9.922324e-01   9.955909e-01   1.342930e-01
  2.005141e-02  -1.153894e-05   2.484752e+03   9.911926e-01   9.952566e-01   1.337170e-01
  2.002470e-02  -9.234666e-06   2.488166e+03   9.912324e-01   9.950105e-01   1.336856e-01
  2.021796e-02  -1.133530e-06   2.470027e+03   9.935034e-01   9.961220e-01   1.341204e-01
  2.020003e-02   3.737987e-06   2.473729e+03   9.941096e-01   9.957163e-01   1.341358e-01
  1.986055e-02   3.877007e-06   2.525040e+03   9.976766e-01   9.967453e-01   1.332042e-01
  2.014724e-02   5.023844e-06   2.486990e+03   9.968268e-01   9.966065e-01   1.326894e-01
  2.062143e-02   7.174668e-07   2.415547e+03   9.909788e-01   9.941425e-01   1.340639e-01
  2.062986e-02   9.666089e-07   2.414816e+03   9.910844e-01   9.947435e-01   1.341969e-01
  2.040414e-02  -3.278094e-06   2.438588e+03   9.898899e-01   9.945605e-01   1.337711e-01
  2.039606e-02   2.155388e-07   2.441817e+03   9.908085e-01   9.949025e-01   1.339145e-01
  2.018462e-02  -1.792026e-06   2.470247e+03   9.919530e-01   9.947831e-01   1.333835e-01
