# B2  M_xy  beta  p  rho  v2
  1.903709e-03   1.663801e-07   2.248281e-06   8.514934e-11   8.514934e-01   6.285257e+01
  4.123826e-02   3.741215e-05   2.369917e-08   1.944302e-11   1.944302e-01   2.194039e+01
  6.171968e-02   5.962542e-07   3.743482e+01   4.596524e-02   6.785374e-01   9.496195e+00
  1.994276e-02  -9.587926e-07   2.011150e+03   7.979210e-01   9.312745e-01   8.580151e+00
  1.979374e-02  -1.333978e-07   2.025622e+03   7.976571e-01   9.307550e-01   8.587771e+00
  6.153601e-02   1.383999e-06   5.391461e+01   6.600334e-02   6.787004e-01   9.484752e+00
  4.051712e-02  -2.855769e-05   2.096273e-08   1.689728e-11   1.689728e-01   2.628746e+01
  1.846651e-03  -2.649659e-07   2.405936e-06   8.838914e-11   8.838914e-01   6.996203e+01
  2.375270e-03   1.034292e-06   1.472386e-06   6.957688e-11   6.957688e-01   7.211293e+01
  3.917079e-02  -3.217839e-05   1.467260e-08   1.143404e-11   1.143404e-01   7.611505e+01
  6.452119e-02   1.400124e-05   2.225603e+01   2.856802e-02   7.187453e-01   9.449352e+00
  2.019375e-02  -4.907805e-08   1.972328e+03   7.923668e-01   9.340767e-01   8.613425e+00
  1.980988e-02   3.934404e-07   2.003346e+03   7.895291e-01   9.236974e-01   8.557426e+00
  6.064233e-02   9.526096e-07   5.457163e+01   6.583744e-02   6.791353e-01   9.425800e+00
  4.073440e-02   8.496528e-06   2.453646e-08   1.988398e-11   1.988398e-01   1.556473e+01
  1.658756e-03   1.866299e-07   2.647212e-06   8.735771e-11   8.735771e-01   6.579679e+01
  1.688837e-03   6.039843e-08   2.589989e-06   8.701932e-11   8.701932e-01   7.167600e+01
  3.958355e-02  -2.188858e-05   2.186447e-08   1.721805e-11   1.721805e-01   1.426725e+01
  6.075082e-02   2.316029e-06   1.556342e+02   1.880993e-01   6.703745e-01   8.920770e+00
  2.016697e-02  -4.614516e-08   1.987135e+03   7.972568e-01   9.157138e-01   8.551551e+00
  1.978570e-02   2.092466e-08   2.043276e+03   8.042825e-01   9.360578e-01   8.570664e+00
  6.148320e-02  -9.660990e-07   4.841364e+01   5.921808e-02   6.895132e-01   9.420906e+00
  4.053836e-02   1.394299e-05   1.979085e-08   1.596103e-11   1.596103e-01   3.093697e+01
  1.874062e-03   6.158971e-07   2.183152e-06   8.139506e-11   8.139506e-01   6.942430e+01
  2.042103e-03   2.032837e-07   2.364828e-06   9.607432e-11   9.607432e-01   7.033403e+01
           nan            nan            nan            nan            inf            nan
