# WAVELENGTH_FLUX
3.000000e-01 3.045910e+02
3.315436e-01 3.043720e+02
3.630872e-01 3.042354e+02
3.946309e-01 3.041468e+02
4.261745e-01 3.040873e+02
4.577181e-01 3.040462e+02
4.892617e-01 3.040170e+02
5.208054e-01 3.039959e+02
5.523490e-01 3.039803e+02
5.838926e-01 3.039686e+02
6.154362e-01 3.039597e+02
6.469799e-01 3.039528e+02
6.785235e-01 3.039473e+02
7.100671e-01 3.039430e+02
7.416107e-01 3.039396e+02
7.731544e-01 3.039368e+02
8.046980e-01 3.039345e+02
8.362416e-01 3.039327e+02
8.677852e-01 3.039311e+02
8.993289e-01 3.039299e+02
9.308725e-01 3.039288e+02
9.624161e-01 3.039279e+02
9.939597e-01 3.039271e+02
1.025503e+00 3.039264e+02
1.057047e+00 3.039259e+02
1.088591e+00 3.039254e+02
1.120134e+00 3.039250e+02
1.151678e+00 3.039246e+02
1.183221e+00 3.039243e+02
1.214765e+00 3.039240e+02
1.246309e+00 3.039237e+02
1.277852e+00 3.039235e+02
1.309396e+00 3.039233e+02
1.340940e+00 3.039232e+02
1.372483e+00 3.039230e+02
1.404027e+00 3.039229e+02
1.435570e+00 3.039228e+02
1.467114e+00 3.039227e+02
1.498658e+00 3.039226e+02
1.530201e+00 3.039225e+02
1.561745e+00 3.039224e+02
1.593289e+00 3.039223e+02
1.624832e+00 3.039223e+02
1.656376e+00 3.039222e+02
1.687919e+00 3.039221e+02
1.719463e+00 3.039221e+02
1.751007e+00 3.039221e+02
1.782550e+00 3.039220e+02
1.814094e+00 3.039220e+02
1.845638e+00 3.039219e+02
1.877181e+00 3.039219e+02
1.908725e+00 3.039219e+02
1.940268e+00 3.039219e+02
1.971812e+00 3.039218e+02
2.003356e+00 3.039218e+02
2.034899e+00 3.039218e+02
2.066443e+00 3.039218e+02
2.097987e+00 3.039218e+02
2.129530e+00 3.039217e+02
2.161074e+00 3.039217e+02
2.192617e+00 3.039217e+02
2.224161e+00 3.039217e+02
2.255705e+00 3.039217e+02
2.287248e+00 3.039217e+02
2.318792e+00 3.039217e+02
2.350336e+00 3.039216e+02
2.381879e+00 3.039217e+02
2.413423e+00 3.039216e+02
2.444966e+00 3.039216e+02
2.476510e+00 3.039216e+02
2.508054e+00 3.039216e+02
2.539597e+00 3.039216e+02
2.571141e+00 3.039216e+02
2.602685e+00 3.039216e+02
2.634228e+00 3.039216e+02
2.665772e+00 3.039216e+02
2.697315e+00 3.039216e+02
2.728859e+00 3.039216e+02
2.760403e+00 3.039216e+02
2.791946e+00 3.039216e+02
2.823490e+00 3.039216e+02
2.855034e+00 3.039216e+02
2.886577e+00 3.039215e+02
2.918121e+00 3.039215e+02
2.949664e+00 3.039215e+02
2.981208e+00 3.039215e+02
3.012752e+00 3.039215e+02
3.044295e+00 3.039215e+02
3.075839e+00 3.039215e+02
3.107383e+00 3.039215e+02
3.138926e+00 3.039215e+02
3.170470e+00 3.039215e+02
3.202013e+00 3.039215e+02
3.233557e+00 3.039215e+02
3.265101e+00 3.039215e+02
3.296644e+00 3.039215e+02
3.328188e+00 3.039215e+02
3.359732e+00 3.039215e+02
3.391275e+00 3.039215e+02
3.422819e+00 3.039215e+02
3.454362e+00 3.039215e+02
3.485906e+00 3.039215e+02
3.517450e+00 3.039215e+02
3.548993e+00 3.039215e+02
3.580537e+00 3.039215e+02
3.612081e+00 3.039215e+02
3.643624e+00 3.039215e+02
3.675168e+00 3.039215e+02
3.706711e+00 3.039215e+02
3.738255e+00 3.039215e+02
3.769799e+00 3.039215e+02
3.801342e+00 3.039215e+02
3.832886e+00 3.039215e+02
3.864430e+00 3.039215e+02
3.895973e+00 3.039215e+02
3.927517e+00 3.039215e+02
3.959060e+00 3.039215e+02
3.990604e+00 3.039215e+02
4.022148e+00 3.039215e+02
4.053691e+00 3.039215e+02
4.085235e+00 3.039215e+02
4.116779e+00 3.039215e+02
4.148322e+00 3.039215e+02
4.179866e+00 3.039215e+02
4.211409e+00 3.039215e+02
4.242953e+00 3.039215e+02
4.274497e+00 3.039215e+02
4.306040e+00 3.039215e+02
4.337584e+00 3.039215e+02
4.369128e+00 3.039215e+02
4.400671e+00 3.039215e+02
4.432215e+00 3.039215e+02
4.463758e+00 3.039215e+02
4.495302e+00 3.039215e+02
4.526846e+00 3.039215e+02
4.558389e+00 3.039215e+02
4.589933e+00 3.039215e+02
4.621477e+00 3.039215e+02
4.653020e+00 3.039215e+02
4.684564e+00 3.039215e+02
4.716107e+00 3.039215e+02
4.747651e+00 3.039215e+02
4.779195e+00 3.039215e+02
4.810738e+00 3.039215e+02
4.842282e+00 3.039215e+02
4.873826e+00 3.039215e+02
4.905369e+00 3.039215e+02
4.936913e+00 3.039215e+02
4.968456e+00 3.039215e+02
5.000000e+00 3.039215e+02
