# Spin Glass MC Results T=1.00
# Columns: sweep  energy_density  magnetization_density  overlap  overlap_squared
     0      -1.37893447       0.00000000      -0.31250000       0.09765625
     1      -1.38169731       0.09375000       0.03125000       0.00097656
     2      -1.35071836       0.15625000      -0.15625000       0.02441406
     3      -1.37632998       0.00000000      -0.09375000       0.00878906
     4      -1.31045358       0.03125000      -0.18750000       0.03515625
     5      -1.29301610       0.03125000      -0.12500000       0.01562500
     6      -1.42018361       0.09375000      -0.18750000       0.03515625
     7      -1.32940216       0.03125000      -0.18750000       0.03515625
     8      -1.44368379       0.15625000      -0.12500000       0.01562500
     9      -1.41936659       0.03125000      -0.09375000       0.00878906
    10      -1.41291190       0.12500000      -0.21875000       0.04785156
    11      -1.48012210       0.00000000      -0.15625000       0.02441406
    12      -1.36676301       0.12500000      -0.15625000       0.02441406
    13      -1.48544593       0.06250000      -0.06250000       0.00390625
    14      -1.35015157       0.18750000       0.25000000       0.06250000
    15      -1.36671678       0.18750000       0.03125000       0.00097656
    16      -1.38968109       0.28125000       0.06250000       0.00390625
    17      -1.43776896       0.12500000      -0.09375000       0.00878906
    18      -1.44799760       0.12500000      -0.06250000       0.00390625
    19      -1.37626496       0.09375000      -0.15625000       0.02441406
    20      -1.43402576       0.06250000      -0.09375000       0.00878906
    21      -1.41239165       0.06250000      -0.03125000       0.00097656
    22      -1.40526829       0.12500000       0.03125000       0.00097656
    23      -1.42813318       0.03125000      -0.09375000       0.00878906
    24      -1.47427765       0.12500000      -0.03125000       0.00097656
    25      -1.44461895       0.03125000      -0.06250000       0.00390625
    26      -1.35682426       0.06250000      -0.15625000       0.02441406
    27      -1.40864567       0.09375000      -0.09375000       0.00878906
    28      -1.46623004       0.00000000      -0.15625000       0.02441406
    29      -1.42253095       0.09375000       0.00000000       0.00000000
    30      -1.38765335       0.15625000       0.09375000       0.00878906
    31      -1.45121249       0.12500000       0.06250000       0.00390625
    32      -1.40689508       0.06250000      -0.18750000       0.03515625
    33      -1.38575556       0.12500000      -0.34375000       0.11816406
    34      -1.44578405       0.03125000      -0.37500000       0.14062500
    35      -1.39080353       0.18750000      -0.12500000       0.01562500
    36      -1.42290890       0.06250000      -0.15625000       0.02441406
    37      -1.45501876       0.12500000      -0.15625000       0.02441406
    38      -1.37528896       0.03125000      -0.18750000       0.03515625
    39      -1.40301525       0.12500000       0.06250000       0.00390625
    40      -1.46610142       0.15625000      -0.09375000       0.00878906
    41      -1.36025736       0.09375000      -0.18750000       0.03515625
    42      -1.38626919       0.15625000       0.06250000       0.00390625
    43      -1.46407955       0.09375000       0.03125000       0.00097656
    44      -1.47447249       0.06250000      -0.21875000       0.04785156
    45      -1.41010295       0.12500000      -0.09375000       0.00878906
    46      -1.44612344       0.15625000      -0.12500000       0.01562500
    47      -1.41355154       0.09375000       0.03125000       0.00097656
    48      -1.38947649       0.06250000      -0.09375000       0.00878906
    49      -1.39848330       0.03125000      -0.06250000       0.00390625
    50      -1.42751382       0.03125000       0.00000000       0.00000000
    51      -1.42825578       0.12500000      -0.09375000       0.00878906
    52      -1.38379062       0.03125000      -0.15625000       0.02441406
    53      -1.46081889       0.00000000      -0.21875000       0.04785156
    54      -1.46254393       0.03125000      -0.28125000       0.07910156
    55      -1.46447722       0.00000000      -0.25000000       0.06250000
    56      -1.33709885       0.03125000      -0.37500000       0.14062500
    57      -1.39469728       0.03125000      -0.37500000       0.14062500
    58      -1.48494628       0.00000000      -0.15625000       0.02441406
    59      -1.38758994       0.00000000      -0.21875000       0.04785156
    60      -1.44433581       0.15625000       0.03125000       0.00097656
    61      -1.38685377       0.15625000       0.03125000       0.00097656
    62      -1.37943458       0.06250000      -0.09375000       0.00878906
    63      -1.48205256       0.03125000      -0.21875000       0.04785156
    64      -1.41079160       0.00000000      -0.21875000       0.04785156
    65      -1.44320826       0.06250000       0.00000000       0.00000000
    66      -1.43975364       0.09375000       0.09375000       0.00878906
    67      -1.39055356       0.03125000      -0.09375000       0.00878906
    68      -1.45451550       0.00000000      -0.21875000       0.04785156
    69      -1.48127957       0.12500000      -0.09375000       0.00878906
    70      -1.40421040       0.09375000      -0.06250000       0.00390625
    71      -1.38151321       0.12500000      -0.03125000       0.00097656
    72      -1.41229906       0.06250000      -0.03125000       0.00097656
