# Spin Glass MC Results T=3.00
# Columns: sweep  energy_density  magnetization_density  overlap  overlap_squared
     0      -0.81023201       0.03125000       0.37500000       0.14062500
     1      -0.48642049       0.00000000       0.12500000       0.01562500
     2      -0.75842238       0.18750000      -0.06250000       0.00390625
     3      -0.81051842       0.03125000      -0.06250000       0.00390625
     4      -0.84348901       0.09375000      -0.12500000       0.01562500
     5      -0.69524452       0.12500000       0.06250000       0.00390625
     6      -0.85150821       0.09375000      -0.18750000       0.03515625
     7      -0.92908137       0.09375000       0.15625000       0.02441406
     8      -0.93604682       0.09375000       0.03125000       0.00097656
     9      -0.93586301       0.00000000       0.21875000       0.04785156
    10      -0.94365007       0.12500000      -0.03125000       0.00097656
    11      -0.34460725       0.06250000       0.15625000       0.02441406
    12      -0.84086853       0.09375000      -0.15625000       0.02441406
    13      -0.70130037       0.09375000      -0.06250000       0.00390625
    14      -0.85476945       0.18750000       0.00000000       0.00000000
    15      -0.65136460       0.03125000       0.28125000       0.07910156
    16      -0.75345470       0.00000000      -0.12500000       0.01562500
    17      -0.96360647       0.06250000      -0.18750000       0.03515625
    18      -0.92883608       0.12500000       0.12500000       0.01562500
    19      -0.59765970       0.06250000       0.09375000       0.00878906
    20      -0.67253751       0.03125000      -0.09375000       0.00878906
    21      -0.68408093       0.15625000      -0.15625000       0.02441406
    22      -0.98981200       0.06250000      -0.31250000       0.09765625
    23      -0.51997550       0.03125000      -0.28125000       0.07910156
    24      -0.78730836       0.03125000      -0.25000000       0.06250000
    25      -0.79624814       0.06250000       0.15625000       0.02441406
    26      -0.69798448       0.03125000       0.06250000       0.00390625
    27      -0.87221680       0.15625000      -0.12500000       0.01562500
    28      -0.81406446       0.00000000      -0.09375000       0.00878906
    29      -0.87239895       0.06250000      -0.25000000       0.06250000
    30      -0.64665863       0.03125000       0.00000000       0.00000000
    31      -0.70759195       0.09375000       0.15625000       0.02441406
    32      -0.61628601       0.03125000       0.03125000       0.00097656
    33      -0.66357085       0.06250000       0.09375000       0.00878906
    34      -0.40084894       0.21875000      -0.06250000       0.00390625
    35      -0.76467095       0.25000000      -0.06250000       0.00390625
    36      -0.64195452       0.00000000      -0.21875000       0.04785156
    37      -0.78929970       0.09375000       0.15625000       0.02441406
    38      -0.69056024       0.03125000       0.12500000       0.01562500
    39      -0.77009391       0.25000000       0.03125000       0.00097656
    40      -0.89432284       0.12500000       0.00000000       0.00000000
    41      -0.70254083       0.25000000      -0.28125000       0.07910156
    42      -0.72456827       0.28125000       0.09375000       0.00878906
    43      -0.77270665       0.25000000      -0.28125000       0.07910156
    44      -0.43560402       0.09375000       0.00000000       0.00000000
    45      -0.48946517       0.12500000       0.03125000       0.00097656
    46      -0.96847172       0.03125000       0.12500000       0.01562500
    47      -0.75733267       0.00000000      -0.03125000       0.00097656
    48      -0.93893187       0.03125000       0.00000000       0.00000000
    49      -0.81041075       0.21875000      -0.06250000       0.00390625
    50      -1.08457475       0.03125000      -0.09375000       0.00878906
    51      -1.04571459       0.09375000       0.03125000       0.00097656
    52      -0.65417962       0.03125000      -0.03125000       0.00097656
    53      -0.70453944       0.03125000       0.12500000       0.01562500
    54      -0.72901720       0.03125000       0.03125000       0.00097656
    55      -0.64918346       0.15625000      -0.06250000       0.00390625
    56      -0.87589884       0.06250000       0.21875000       0.04785156
    57      -0.73018277       0.00000000       0.06250000       0.00390625
    58      -0.82390090       0.15625000      -0.03125000       0.00097656
    59      -0.48370176       0.06250000      -0.18750000       0.03515625
    60      -0.66660979       0.12500000       0.18750000       0.03515625
    61      -0.57120604       0.03125000      -0.12500000       0.01562500
    62      -0.80803347       0.03125000       0.12500000       0.01562500
    63      -0.40194281       0.00000000       0.00000000       0.00000000
    64      -0.69330150       0.12500000      -0.12500000       0.01562500
    65      -0.78832124       0.12500000      -0.09375000       0.00878906
    66      -0.83183753       0.09375000       0.00000000       0.00000000
    67      -0.77910706       0.03125000      -0.25000000       0.06250000
    68      -0.98820054       0.03125000      -0.06250000       0.00390625
    69      -0.81262738       0.09375000      -0.12500000       0.01562500
    70      -0.65865950       0.06250000       0.03125000       0.00097656
    71      -0.74687034       0.03125000      -0.03125000       0.00097656
