# Spin Glass MC Results T=2.00
# Columns: sweep  energy_density  magnetization_density  overlap  overlap_squared
     0      -1.00438858       0.03125000       0.00000000       0.00000000
     1      -0.94961060       0.12500000       0.12500000       0.01562500
     2      -0.91347784       0.09375000       0.37500000       0.14062500
     3      -1.21320441       0.18750000       0.00000000       0.00000000
     4      -1.13892986       0.12500000      -0.06250000       0.00390625
     5      -1.25073043       0.09375000      -0.18750000       0.03515625
     6      -0.67395796       0.03125000      -0.06250000       0.00390625
     7      -0.88387547       0.12500000       0.18750000       0.03515625
     8      -0.91659065       0.00000000       0.03125000       0.00097656
     9      -1.06236447       0.28125000      -0.43750000       0.19140625
    10      -0.86334891       0.12500000      -0.56250000       0.31640625
    11      -0.85182416       0.03125000      -0.31250000       0.09765625
    12      -1.01245010       0.06250000      -0.28125000       0.07910156
    13      -0.90247124       0.06250000      -0.12500000       0.01562500
    14      -1.06396183       0.21875000      -0.15625000       0.02441406
    15      -1.19434580       0.06250000      -0.06250000       0.00390625
    16      -1.17890315       0.06250000       0.00000000       0.00000000
    17      -1.18272910       0.06250000       0.03125000       0.00097656
    18      -1.27681141       0.03125000       0.12500000       0.01562500
    19      -1.36377025       0.03125000       0.15625000       0.02441406
    20      -1.32211039       0.09375000       0.12500000       0.01562500
    21      -1.25862425       0.00000000       0.00000000       0.00000000
    22      -1.22119074       0.03125000      -0.15625000       0.02441406
    23      -1.33337200       0.03125000      -0.12500000       0.01562500
    24      -1.34659951       0.12500000       0.09375000       0.00878906
    25      -1.32607833       0.06250000      -0.09375000       0.00878906
    26      -1.25316167       0.12500000      -0.15625000       0.02441406
    27      -1.12352514       0.03125000      -0.15625000       0.02441406
    28      -1.20121947       0.03125000       0.18750000       0.03515625
    29      -1.14545938       0.21875000       0.34375000       0.11816406
    30      -1.16764431       0.12500000       0.28125000       0.07910156
    31      -1.26863273       0.09375000       0.31250000       0.09765625
    32      -1.32227799       0.12500000       0.43750000       0.19140625
    33      -1.28600769       0.18750000       0.56250000       0.31640625
    34      -1.07995389       0.25000000       0.25000000       0.06250000
    35      -1.17123787       0.03125000       0.12500000       0.01562500
    36      -0.93416303       0.09375000       0.21875000       0.04785156
    37      -1.06295986       0.12500000       0.09375000       0.00878906
    38      -1.01490668       0.12500000       0.00000000       0.00000000
    39      -0.74670278       0.06250000       0.00000000       0.00000000
    40      -0.98487579       0.06250000       0.00000000       0.00000000
    41      -0.94111188       0.06250000      -0.06250000       0.00390625
    42      -0.63643860       0.09375000       0.12500000       0.01562500
    43      -0.76239463       0.03125000       0.18750000       0.03515625
    44      -1.03635744       0.03125000       0.21875000       0.04785156
    45      -1.16833260       0.06250000       0.43750000       0.19140625
    46      -1.14350594       0.06250000       0.31250000       0.09765625
    47      -0.97116432       0.06250000       0.15625000       0.02441406
    48      -1.06418127       0.12500000      -0.12500000       0.01562500
    49      -1.06410200       0.28125000       0.00000000       0.00000000
    50      -0.88213100       0.00000000       0.18750000       0.03515625
    51      -0.90935918       0.09375000       0.12500000       0.01562500
    52      -0.93490910       0.28125000       0.03125000       0.00097656
    53      -0.99627502       0.21875000       0.00000000       0.00000000
    54      -0.83170648       0.25000000       0.18750000       0.03515625
    55      -0.99382991       0.15625000       0.31250000       0.09765625
    56      -1.08065839       0.15625000       0.37500000       0.14062500
    57      -0.90369066       0.06250000       0.46875000       0.21972656
    58      -0.98758550       0.03125000       0.28125000       0.07910156
    59      -0.69081395       0.03125000      -0.06250000       0.00390625
    60      -0.93216045       0.18750000      -0.09375000       0.00878906
    61      -1.19274292       0.00000000      -0.15625000       0.02441406
    62      -1.11928976       0.09375000      -0.15625000       0.02441406
    63      -0.96123361       0.03125000      -0.03125000       0.00097656
    64      -0.85063197       0.06250000      -0.06250000       0.00390625
    65      -1.13824762       0.28125000      -0.43750000       0.19140625
    66      -1.11574327       0.12500000      -0.18750000       0.03515625
    67      -1.14827238       0.15625000      -0.31250000       0.09765625
    68      -1.04872226       0.06250000      -0.40625000       0.16503906
    69      -0.94255486       0.18750000      -0.37500000       0.14062500
    70      -1.13593402       0.15625000      -0.15625000       0.02441406
    71      -0.74237084       0.15625000      -0.15625000       0.02441406
    72      -1.01037946       0.09375000      -0.18750000       0.03515625
    73      -0.83227901       0.12500000      -0.15625000       0.02441406
    74      -1.18943839       0.18750000      -0.50000000       0.25000000
