# Spin Glass MC Results T=1.50
# Columns: sweep  energy_density  magnetization_density  overlap  overlap_squared
   112      -1.27567170       0.12500000       0.50000000       0.25000000
   113      -1.41710381       0.12500000       0.46875000       0.21972656
   114      -1.29728849       0.03125000       0.56250000       0.31640625
   115      -1.41589834       0.18750000       0.43750000       0.19140625
   116      -1.35929543       0.25000000       0.59375000       0.35253906
   117      -1.30629497       0.15625000       0.56250000       0.31640625
   118      -1.33738224       0.15625000       0.78125000       0.61035156
   119      -1.41149617       0.15625000       0.75000000       0.56250000
   120      -1.39317372       0.09375000       0.75000000       0.56250000
   121      -1.35265322       0.12500000       0.75000000       0.56250000
   122      -1.33414131       0.09375000       0.62500000       0.39062500
   123      -1.34909503       0.12500000       0.65625000       0.43066406
   124      -1.43472068       0.09375000       0.71875000       0.51660156
   125      -1.33713501       0.03125000       0.50000000       0.25000000
   126      -1.21665203       0.25000000       0.53125000       0.28222656
   127      -1.18540144       0.03125000       0.59375000       0.35253906
   128      -1.40754629       0.03125000       0.78125000       0.61035156
   129      -1.35657829       0.03125000       0.75000000       0.56250000
   130      -1.26258147       0.09375000       0.78125000       0.61035156
   131      -1.16824217       0.28125000       0.65625000       0.43066406
   132      -1.30458532       0.12500000       0.56250000       0.31640625
   133      -1.22198113       0.09375000       0.75000000       0.56250000
   134      -1.14318012       0.21875000       0.71875000       0.51660156
   135      -1.24172516       0.31250000       0.43750000       0.19140625
   136      -1.09439793       0.18750000       0.34375000       0.11816406
   137      -0.99990610       0.09375000       0.34375000       0.11816406
   138      -1.11472633       0.09375000       0.25000000       0.06250000
   139      -1.07324964       0.09375000       0.34375000       0.11816406
   140      -1.26112888       0.09375000       0.37500000       0.14062500
   141      -1.16883137       0.03125000       0.46875000       0.21972656
   142      -1.24897548       0.06250000       0.37500000       0.14062500
   143      -1.30961906       0.15625000       0.53125000       0.28222656
   144      -1.32650797       0.03125000       0.31250000       0.09765625
   145      -1.45212692       0.18750000       0.59375000       0.35253906
   146      -1.37606993       0.12500000       0.43750000       0.19140625
   147      -1.40350966       0.00000000       0.53125000       0.28222656
   148      -1.34722064       0.15625000       0.37500000       0.14062500
   149      -1.21968994       0.12500000       0.65625000       0.43066406
   150      -1.30262658       0.09375000       0.50000000       0.25000000
   151      -1.29785401       0.03125000       0.62500000       0.39062500
   152      -1.27051802       0.15625000       0.50000000       0.25000000
   153      -1.38449045       0.06250000       0.56250000       0.31640625
   154      -1.35533909       0.09375000       0.43750000       0.19140625
   155      -1.25578007       0.12500000       0.37500000       0.14062500
   156      -1.16439092       0.12500000       0.37500000       0.14062500
