# Spin Glass MC Results T=0.70
# Columns: sweep  energy_density  magnetization_density  overlap  overlap_squared
     0      -1.47511294       0.03125000      -0.37500000       0.14062500
     1      -1.45922286       0.03125000      -0.18750000       0.03515625
     2      -1.46928523       0.00000000      -0.31250000       0.09765625
     3      -1.47710684       0.03125000      -0.21875000       0.04785156
     4      -1.36301337       0.12500000      -0.18750000       0.03515625
     5      -1.45431717       0.25000000      -0.21875000       0.04785156
     6      -1.48115359       0.12500000      -0.12500000       0.01562500
     7      -1.47163119       0.06250000      -0.31250000       0.09765625
     8      -1.45083162       0.00000000      -0.34375000       0.11816406
     9      -1.45653402       0.09375000      -0.21875000       0.04785156
    10      -1.37957756       0.09375000      -0.37500000       0.14062500
    11      -1.48328273       0.06250000      -0.28125000       0.07910156
    12      -1.43384696       0.09375000      -0.28125000       0.07910156
    13      -1.49170446       0.03125000      -0.34375000       0.11816406
    14      -1.48410779       0.09375000      -0.25000000       0.06250000
    15      -1.47841508       0.03125000      -0.40625000       0.16503906
    16      -1.44825401       0.06250000      -0.15625000       0.02441406
    17      -1.45925335       0.03125000      -0.21875000       0.04785156
    18      -1.45425076       0.06250000      -0.12500000       0.01562500
    19      -1.50167202       0.03125000      -0.09375000       0.00878906
    20      -1.51224512       0.09375000      -0.25000000       0.06250000
    21      -1.48228732       0.00000000      -0.31250000       0.09765625
    22      -1.49557014       0.06250000      -0.06250000       0.00390625
    23      -1.49625636       0.06250000      -0.09375000       0.00878906
    24      -1.51009375       0.06250000      -0.12500000       0.01562500
    25      -1.49450183       0.06250000      -0.21875000       0.04785156
    26      -1.50438989       0.03125000      -0.28125000       0.07910156
    27      -1.49132346       0.09375000      -0.34375000       0.11816406
    28      -1.47733964       0.06250000      -0.28125000       0.07910156
    29      -1.41203762       0.03125000      -0.12500000       0.01562500
    30      -1.47232112       0.03125000      -0.25000000       0.06250000
    31      -1.45080759       0.06250000      -0.18750000       0.03515625
    32      -1.46188794       0.03125000      -0.18750000       0.03515625
    33      -1.44677117       0.12500000      -0.18750000       0.03515625
    34      -1.44513995       0.06250000       0.00000000       0.00000000
    35      -1.50921843       0.15625000      -0.06250000       0.00390625
    36      -1.51014594       0.15625000      -0.12500000       0.01562500
    37      -1.50921843       0.15625000      -0.18750000       0.03515625
    38      -1.45519205       0.09375000      -0.15625000       0.02441406
    39      -1.50477966       0.15625000      -0.09375000       0.00878906
    40      -1.51014594       0.15625000      -0.06250000       0.00390625
    41      -1.48879089       0.12500000      -0.06250000       0.00390625
    42      -1.51014594       0.15625000      -0.15625000       0.02441406
    43      -1.43132694       0.15625000      -0.21875000       0.04785156
    44      -1.49957284       0.09375000      -0.09375000       0.00878906
    45      -1.48879089       0.12500000      -0.09375000       0.00878906
    46      -1.47636129       0.09375000      -0.15625000       0.02441406
    47      -1.48445723       0.21875000      -0.06250000       0.00390625
    48      -1.50799457       0.12500000      -0.28125000       0.07910156
    49      -1.49635792       0.12500000      -0.18750000       0.03515625
    50      -1.46100282       0.15625000      -0.18750000       0.03515625
    51      -1.47351041       0.21875000      -0.18750000       0.03515625
    52      -1.44796708       0.09375000      -0.15625000       0.02441406
    53      -1.47756487       0.15625000      -0.12500000       0.01562500
    54      -1.45311127       0.03125000      -0.09375000       0.00878906
    55      -1.44457041       0.12500000      -0.12500000       0.01562500
    56      -1.50193458       0.12500000      -0.25000000       0.06250000
    57      -1.41862770       0.09375000      -0.31250000       0.09765625
    58      -1.44763595       0.09375000      -0.28125000       0.07910156
    59      -1.47801652       0.12500000      -0.28125000       0.07910156
    60      -1.44480229       0.12500000      -0.03125000       0.00097656
    61      -1.49131280       0.06250000      -0.09375000       0.00878906
    62      -1.44036616       0.03125000      -0.18750000       0.03515625
    63      -1.45340359       0.09375000       0.06250000       0.00390625
