# Structured UQ Data File
# FORMAT_VERSION 1.0
# META project=205_synth_project
# META dimension=4
# META n_training=80
# META max_degree=1
# NBLOCKS 2

# BLOCK training_inputs
# DIMENSION 4 0
# NSAMPLES 80
5.000000000000e-03 3.000000000000e-01 1.500000000000e+00 5.000000000000e-01
1.250000000000e-02 4.666666666667e-01 1.700000000000e+00 6.428571428571e-01
8.750000000000e-03 6.333333333333e-01 1.900000000000e+00 7.857142857143e-01
1.625000000000e-02 3.555555555556e-01 2.100000000000e+00 9.285714285714e-01
6.875000000000e-03 5.222222222222e-01 2.300000000000e+00 1.071428571429e+00
1.437500000000e-02 6.888888888889e-01 1.540000000000e+00 1.214285714286e+00
1.062500000000e-02 4.111111111111e-01 1.740000000000e+00 1.357142857143e+00
1.812500000000e-02 5.777777777778e-01 1.940000000000e+00 5.204081632653e-01
5.937500000000e-03 7.444444444444e-01 2.140000000000e+00 6.632653061224e-01
1.343750000000e-02 3.185185185185e-01 2.340000000000e+00 8.061224489796e-01
9.687500000000e-03 4.851851851852e-01 1.580000000000e+00 9.489795918367e-01
1.718750000000e-02 6.518518518519e-01 1.780000000000e+00 1.091836734694e+00
7.812500000000e-03 3.740740740741e-01 1.980000000000e+00 1.234693877551e+00
1.531250000000e-02 5.407407407407e-01 2.180000000000e+00 1.377551020408e+00
1.156250000000e-02 7.074074074074e-01 2.380000000000e+00 5.408163265306e-01
1.906250000000e-02 4.296296296296e-01 1.620000000000e+00 6.836734693878e-01
5.468750000000e-03 5.962962962963e-01 1.820000000000e+00 8.265306122449e-01
1.296875000000e-02 7.629629629630e-01 2.020000000000e+00 9.693877551020e-01
9.218750000000e-03 3.370370370370e-01 2.220000000000e+00 1.112244897959e+00
1.671875000000e-02 5.037037037037e-01 2.420000000000e+00 1.255102040816e+00
7.343750000000e-03 6.703703703704e-01 1.660000000000e+00 1.397959183673e+00
1.484375000000e-02 3.925925925926e-01 1.860000000000e+00 5.612244897959e-01
1.109375000000e-02 5.592592592593e-01 2.060000000000e+00 7.040816326531e-01
1.859375000000e-02 7.259259259259e-01 2.260000000000e+00 8.469387755102e-01
6.406250000000e-03 4.481481481481e-01 2.460000000000e+00 9.897959183673e-01
1.390625000000e-02 6.148148148148e-01 1.508000000000e+00 1.132653061224e+00
1.015625000000e-02 7.814814814815e-01 1.708000000000e+00 1.275510204082e+00
1.765625000000e-02 3.061728395062e-01 1.908000000000e+00 1.418367346939e+00
8.281250000000e-03 4.728395061728e-01 2.108000000000e+00 5.816326530612e-01
1.578125000000e-02 6.395061728395e-01 2.308000000000e+00 7.244897959184e-01
1.203125000000e-02 3.617283950617e-01 1.548000000000e+00 8.673469387755e-01
1.953125000000e-02 5.283950617284e-01 1.748000000000e+00 1.010204081633e+00
5.234375000000e-03 6.950617283951e-01 1.948000000000e+00 1.153061224490e+00
1.273437500000e-02 4.172839506173e-01 2.148000000000e+00 1.295918367347e+00
8.984375000000e-03 5.839506172840e-01 2.348000000000e+00 1.438775510204e+00
1.648437500000e-02 7.506172839506e-01 1.588000000000e+00 6.020408163265e-01
7.109375000000e-03 3.246913580247e-01 1.788000000000e+00 7.448979591837e-01
1.460937500000e-02 4.913580246914e-01 1.988000000000e+00 8.877551020408e-01
1.085937500000e-02 6.580246913580e-01 2.188000000000e+00 1.030612244898e+00
1.835937500000e-02 3.802469135802e-01 2.388000000000e+00 1.173469387755e+00
6.171875000000e-03 5.469135802469e-01 1.628000000000e+00 1.316326530612e+00
1.367187500000e-02 7.135802469136e-01 1.828000000000e+00 1.459183673469e+00
9.921875000000e-03 4.358024691358e-01 2.028000000000e+00 6.224489795918e-01
1.742187500000e-02 6.024691358025e-01 2.228000000000e+00 7.653061224490e-01
8.046875000000e-03 7.691358024691e-01 2.428000000000e+00 9.081632653061e-01
1.554687500000e-02 3.432098765432e-01 1.668000000000e+00 1.051020408163e+00
1.179687500000e-02 5.098765432099e-01 1.868000000000e+00 1.193877551020e+00
1.929687500000e-02 6.765432098765e-01 2.068000000000e+00 1.336734693878e+00
5.703125000000e-03 3.987654320988e-01 2.268000000000e+00 1.479591836735e+00
1.320312500000e-02 5.654320987654e-01 2.468000000000e+00 5.029154518950e-01
9.453125000000e-03 7.320987654321e-01 1.516000000000e+00 6.457725947522e-01
1.695312500000e-02 4.543209876543e-01 1.716000000000e+00 7.886297376093e-01
7.578125000000e-03 6.209876543210e-01 1.916000000000e+00 9.314868804665e-01
1.507812500000e-02 7.876543209877e-01 2.116000000000e+00 1.074344023324e+00
1.132812500000e-02 3.123456790123e-01 2.316000000000e+00 1.217201166181e+00
1.882812500000e-02 4.790123456790e-01 1.556000000000e+00 1.360058309038e+00
6.640625000000e-03 6.456790123457e-01 1.756000000000e+00 5.233236151603e-01
1.414062500000e-02 3.679012345679e-01 1.956000000000e+00 6.661807580175e-01
1.039062500000e-02 5.345679012346e-01 2.156000000000e+00 8.090379008746e-01
1.789062500000e-02 7.012345679012e-01 2.356000000000e+00 9.518950437318e-01
8.515625000000e-03 4.234567901235e-01 1.596000000000e+00 1.094752186589e+00
1.601562500000e-02 5.901234567901e-01 1.796000000000e+00 1.237609329446e+00
1.226562500000e-02 7.567901234568e-01 1.996000000000e+00 1.380466472303e+00
1.976562500000e-02 3.308641975309e-01 2.196000000000e+00 5.437317784257e-01
5.117187500000e-03 4.975308641975e-01 2.396000000000e+00 6.865889212828e-01
1.261718750000e-02 6.641975308642e-01 1.636000000000e+00 8.294460641399e-01
8.867187500000e-03 3.864197530864e-01 1.836000000000e+00 9.723032069971e-01
1.636718750000e-02 5.530864197531e-01 2.036000000000e+00 1.115160349854e+00
6.992187500000e-03 7.197530864198e-01 2.236000000000e+00 1.258017492711e+00
1.449218750000e-02 4.419753086420e-01 2.436000000000e+00 1.400874635569e+00
1.074218750000e-02 6.086419753086e-01 1.676000000000e+00 5.641399416910e-01
1.824218750000e-02 7.753086419753e-01 1.876000000000e+00 7.069970845481e-01
6.054687500000e-03 3.493827160494e-01 2.076000000000e+00 8.498542274052e-01
1.355468750000e-02 5.160493827160e-01 2.276000000000e+00 9.927113702624e-01
9.804687500000e-03 6.827160493827e-01 2.476000000000e+00 1.135568513120e+00
1.730468750000e-02 4.049382716049e-01 1.524000000000e+00 1.278425655977e+00
7.929687500000e-03 5.716049382716e-01 1.724000000000e+00 1.421282798834e+00
1.542968750000e-02 7.382716049383e-01 1.924000000000e+00 5.845481049563e-01
1.167968750000e-02 4.604938271605e-01 2.124000000000e+00 7.274052478134e-01
1.917968750000e-02 6.271604938272e-01 2.324000000000e+00 8.702623906706e-01

# BLOCK pattern_amplitude
# DIMENSION 4 1
# NSAMPLES 80
5.000000000000e-03 3.000000000000e-01 1.500000000000e+00 5.000000000000e-01 0.000000000000e+00
1.250000000000e-02 4.666666666667e-01 1.700000000000e+00 6.428571428571e-01 0.000000000000e+00
8.750000000000e-03 6.333333333333e-01 1.900000000000e+00 7.857142857143e-01 1.656968328263e-11
