TITLE = "reactor_result.dat"
VARIABLES = "X", "Y", "Temperature"
ZONE N=66 E=102 F=FEPOINT ET=TRIANGLE
 -1.9824318034e-02   -4.9960684184e-01    1.8000000000e-01
 -2.6501256990e-01   -4.2399096428e-01    1.8000000000e-01
 -1.5166545525e-01   -4.7644264050e-01    1.8000000000e-01
 -4.7348472100e-02   -3.8291253725e-01    1.8000000000e-01
  1.0067138648e-01   -4.8976042301e-01    1.8000000000e-01
  2.1611344688e-01   -4.5088244375e-01    1.8000000000e-01
 -3.7158066797e-01   -3.3455613458e-01    1.8000000000e-01
 -2.5139572429e-01   -2.9944566511e-01    1.8000000000e-01
 -1.4020101246e-01   -3.2957335566e-01    1.8000000000e-01
  5.3762888548e-02   -3.5103303741e-01    1.8000000000e-01
  1.6764710840e-01   -3.4785072640e-01    1.8000000000e-01
  3.1774181585e-01   -3.8605716994e-01    1.8000000000e-01
  3.9901372258e-01   -3.0131055274e-01    1.8000000000e-01
 -4.4455764398e-01   -2.2884165088e-01    1.8000000000e-01
 -3.1540129821e-01   -1.9628447339e-01    1.8000000000e-01
 -1.6732606636e-01   -1.9546219173e-01    1.8000000000e-01
 -3.1135363707e-02   -2.3110963779e-01    1.8000000000e-01
  1.0898406177e-01   -2.1898023094e-01    1.8000000000e-01
  2.4508684893e-01   -2.6052484847e-01    1.8000000000e-01
  3.2510698144e-01   -1.8656347169e-01    1.8000000000e-01
  4.6130965499e-01   -1.9285591051e-01    1.8000000000e-01
 -4.8741066895e-01   -1.1149367605e-01    1.8000000000e-01
 -3.7869269542e-01   -8.5730600652e-02    1.8000000000e-01
 -2.4006294306e-01   -8.3710448311e-02    1.8000000000e-01
 -9.2613254833e-02   -9.5376624962e-02    1.8000000000e-01
  4.2677385218e-02   -1.0586701910e-01    1.8000000000e-01
  1.9759194391e-01   -1.1419526590e-01    1.8000000000e-01
  3.5080845643e-01   -7.9844523936e-02    1.8000000000e-01
  4.9370982912e-01   -7.9060765446e-02    1.8000000000e-01
 -4.9985281242e-01    1.2131195804e-02    1.8000000000e-01
 -3.3598899913e-01    2.3928552940e-02    1.8000000000e-01
 -1.7952382689e-01    2.2241919680e-02    1.8000000000e-01
 -3.8125619903e-02    2.0848021216e-02    1.8000000000e-01
  1.0639459162e-01    2.8077989865e-03    1.8000000000e-01
  2.4747583371e-01    1.3484799182e-02    1.8000000000e-01
  3.8293133275e-01    3.6940977656e-02    1.8000000000e-01
  4.9845718268e-01    3.9248401714e-02    1.8000000000e-01
 -4.8291093424e-01    1.2960335485e-01    1.8000000000e-01
 -3.6565973398e-01    1.3297349933e-01    1.8000000000e-01
 -2.3420200052e-01    1.3704972595e-01    1.8000000000e-01
 -1.0914617358e-01    1.4746236916e-01    1.8000000000e-01
  3.2465257703e-02    1.2680039762e-01    1.8000000000e-01
  1.7252027533e-01    1.1877230603e-01    1.8000000000e-01
  3.2411472450e-01    1.4342924878e-01    1.8000000000e-01
  4.7383136028e-01    1.5963659359e-01    1.8000000000e-01
 -4.3216221082e-01    2.5146734091e-01    1.8000000000e-01
 -2.9756583157e-01    2.4961954159e-01    1.8000000000e-01
 -1.8860078215e-01    2.8434457636e-01    1.8000000000e-01
 -4.8329304516e-02    2.5373071043e-01    1.8000000000e-01
  7.9647683309e-02    2.4364345070e-01    1.8000000000e-01
  2.0421985467e-01    2.2800446079e-01    1.8000000000e-01
  3.0290695467e-01    2.7174014180e-01    1.8000000000e-01
  4.2154660137e-01    2.6888373486e-01    1.8000000000e-01
 -3.5111282786e-01    3.5597722134e-01    1.8000000000e-01
 -2.5720277743e-01    4.2877351980e-01    1.8000000000e-01
 -1.0450104104e-01    3.7305928341e-01    1.8000000000e-01
  3.1858752089e-02    3.7251340412e-01    1.8000000000e-01
  1.6804810159e-01    3.4994772094e-01    1.8000000000e-01
  3.2528324865e-01    3.7972464780e-01    1.8000000000e-01
 -1.4739551431e-01    4.7778087275e-01    1.8000000000e-01
 -2.3538879255e-02    4.9944561382e-01    1.8000000000e-01
  1.0364310014e-01    4.8914017193e-01    1.8000000000e-01
  2.2231815057e-01    4.4785560165e-01    1.8000000000e-01
 -4.2428533411e-01    1.3128842709e-01    1.8000000000e-01
 -4.9138187333e-01    7.0867275327e-02    1.8000000000e-01
 -4.3275627320e-01    7.2552347565e-02    1.8000000000e-01
          48            54            47
           7             2             8
          40            48            47
           2             9             8
           5            10             1
          11            12            19
           5            11            10
